id;method_for_determining_the_supplier;purchase_stage;number;electronic_site;electronic_auction_subject;types_of_work;organization_name;email;phone;contact_person;deadline_for_submission;deadline_consideration;date_of_the_electronic_auction;time_of_the_electronic_auction;initial_contract_price;application_security_amount;contract_security_amount;turnaround_time;created;edited;status
1;Fiji;Cambridgeshire Gold Savings Account;85953;Practical;Inverse;microchip neural Internal;Cambridgeshire;Sonia51@yahoo.com;(678) 820-9040;Buckinghamshire Licensed;2020-10-27T23:40:31;2020-10-28T00:20:42;2020-10-27T19:18:31;2020-10-28T05:21:26;252;94654;69557;instruction set;2020-10-28T07:07:23;2020-10-27T18:32:28;CLOSED
2;deposit algorithm;Kyat deploy;80645;encoding;panel Cotton;Turnpike Metical Avon;Sleek Fresh Towels;Madge.Harber20@hotmail.com;1-440-797-6399;Response Applications;2020-10-28T08:58:24;2020-10-27T16:20:04;2020-10-28T03:21:11;2020-10-27T23:45:59;5430;73649;22914;Idaho;2020-10-28T00:49:47;2020-10-27T14:20:30;CLOSED
3;Extensions Bulgarian Lev;Dynamic Ergonomic salmon;87799;Industrial lime;5th generation Planner Handmade;cyan program wireless;Towels Tunisia;Mae53@yahoo.com;231-067-3609 x3538;Baby Uganda Shilling Metrics;2020-10-28T00:27:04;2020-10-28T02:45:30;2020-10-28T03:55:27;2020-10-27T19:44:46;34356;11953;63481;Sleek Granite Bacon Supervisor;2020-10-28T00:25:29;2020-10-28T06:00:19;ACTIVE
4;superstructure;channels;75910;Montenegro Cotton optical;navigate Representative;program whiteboard Orchestrator;SDD SSL;Margie.Beahan@hotmail.com;1-748-343-7758 x563;Central African Republic;2020-10-28T04:24:31;2020-10-27T22:07:16;2020-10-27T21:52:56;2020-10-27T18:14:16;72317;24373;84261;Chief multi-byte Money Market Account;2020-10-28T04:46:15;2020-10-28T08:48:35;ACTIVE
5;Fresh;mint green auxiliary Licensed Cotton Bike;93536;forecast Hungary;Tactics FTP;Avon;Personal Loan Account;Madelyn80@hotmail.com;285.476.7646 x80759;attitude;2020-10-27T22:28:13;2020-10-28T04:47:18;2020-10-27T23:04:19;2020-10-28T09:20:39;84932;23133;56720;copy integrate;2020-10-27T12:56:16;2020-10-28T00:08:26;CLOSED
6;calculate;XSS Alabama;57492;redundant THX Engineer;project cross-platform grey;Future Open-architected;Soap hack;Maximo.Runolfsdottir73@yahoo.com;1-501-770-9469;Intelligent Micronesia Fantastic Plastic Bike;2020-10-27T21:11:03;2020-10-28T06:18:02;2020-10-28T04:56:21;2020-10-28T09:09:27;15363;91087;13101;Incredible Wooden Chicken;2020-10-27T23:07:15;2020-10-28T03:53:58;NEW
7;Home Loan Account;FTP Division;65639;Brand;bypass;compressing SMTP Incredible Soft Shirt;generate;Nikki.Hartmann0@gmail.com;(363) 056-0649 x05770;generating;2020-10-27T17:01:50;2020-10-27T15:56:31;2020-10-27T16:06:11;2020-10-28T03:15:48;79920;44636;44529;Handcrafted content reciprocal;2020-10-28T05:36:59;2020-10-28T01:50:59;ENDED
8;invoice synthesize;ADP;69340;connecting;Dobra;JBOD;Junction;June_Ritchie@gmail.com;117.321.8783;Accountability;2020-10-27T21:50:49;2020-10-27T23:26:18;2020-10-27T13:16:36;2020-10-28T03:54:08;76179;28574;54112;azure Investor;2020-10-27T13:00:38;2020-10-27T22:42:16;DELETED
9;intermediate open-source;Minnesota website circuit;39426;Tunnel;Fantastic Rubber Bacon;Principal Romania ADP;4th generation;Erika.Cole94@hotmail.com;1-627-169-7732 x8274;driver;2020-10-28T07:24:21;2020-10-27T21:06:47;2020-10-28T03:42:54;2020-10-28T04:02:11;33330;41789;48667;methodology Incredible;2020-10-27T10:47:23;2020-10-27T11:26:20;NEW
10;needs-based grey azure;Parkways;91404;Pizza Dynamic maroon;back-end;Wyoming Stravenue solid state;generate analyzing;Corine.OKeefe53@gmail.com;1-216-037-0200;transmitting access navigate;2020-10-27T22:07:06;2020-10-28T01:24:32;2020-10-27T23:44:55;2020-10-27T22:58:10;38209;57950;81162;transmitting Baby;2020-10-27T19:54:14;2020-10-28T08:00:52;STOPED
